ID	1st	dist	2nd	dist	3rd	dist	4th	dist	5th	dist	6th	dist
"818"	"2646"	0.28101514	"5571"	0.38545071	"24514"	0.44141138	"21407"	0.48795823	"15151"	0.49580713	"4724"	0.54130344	
"31684"	"20946"	1.02120706	"6918"	1.22257984	"7252"	2.08538292	"1589"	2.11730349	"12171"	2.13158679	"5961"	2.14167650	
"9703"	"7166"	2.16172219	"7039"	2.48033698	"20946"	3.25426880	"13482"	3.27824883	"5961"	3.40213550	"5317"	3.41184523	
"30082"	"9364"	1.10834206	"24931"	1.12966549	"31329"	1.18685262	"14864"	1.18775048	"31987"	1.23148710	"23779"	1.56916782	
"22025"	"6714"	2.25298520	"9227"	3.12449009	"10407"	3.17127754	"15154"	3.20480103	"2327"	3.20789375	"14292"	3.26067653	
"14319"	"16621"	1.33240766	"28898"	3.07938988	"1709"	3.09882754	"13454"	3.11298344	"19683"	3.12058319	"16949"	3.12902035	
"26151"	"30339"	2.57567357	"30981"	3.22889372	"12780"	3.24585155	"22670"	3.43559420	"21"	3.5486085	"23737"	3.80809435	
"1266"	"7263"	0.07502970	"18540"	0.18239222	"13491"	1.10822364	"5053"	1.22368489	"15452"	1.22951222	"14650"	1.28540339	
"23669"	"31083"	1.59226603	"23584"	1.68293776	"16125"	1.69388687	"20084"	1.74146047	"24338"	1.83401129	"29902"	2.38308519	
"11168"	"7385"	1.27793064	"16237"	1.40334277	"29052"	2.06020048	"5685"	2.08202216	"31324"	2.09310585	"16899"	2.09372205	
"26556"	"1589"	1.19965638	"6918"	1.22586905	"13716"	1.25224188	"5961"	1.26083627	"31684"	1.31695988	"30619"	1.46833172	
"17150"	"3195"	1.51824234	"10862"	2.12680613	"26553"	2.14042336	"1125"	2.17849755	"14292"	2.19591302	"11995"	2.23927991	
"8792"	"1871"	1.05665432	"20078"	1.13415742	"14864"	1.18402038	"12892"	1.20949197	"22184"	1.21661201	"10106"	1.21667558	
"25648"	"21889"	1.31445417	"28411"	2.04329085	"13364"	2.07856904	"2402"	2.09856139	"8009"	2.14918233	"10672"	2.23121360	
"2935"	"11168"	1.22372128	"31324"	1.23265625	"16899"	1.31744334	"20327"	1.35245187	"15154"	1.39601468	"7385"	1.40399583	
"26644"	"11986"	0.18743461	"22544"	0.32237454	"3350"	2.08622990	"20460"	2.13782955	"7533"	2.13844468	"25275"	2.25466004	
"8865"	"15671"	1.07784771	"26474"	1.14196577	"6723"	1.29229329	"25875"	1.49717717	"18110"	1.55469006	"18533"	1.57094669	
"24113"	"28577"	2.29263808	"28787"	2.38915735	"26948"	2.53002847	"16590"	2.53411897	"26398"	2.54541009	"29606"	3.05540321	
"30869"	"18540"	1.02163544	"7263"	1.08572706	"19683"	1.14364932	"1266"	1.16075677	"13454"	1.18405528	"13276"	1.20349978	
"2609"	"8917"	0.16526481	"12171"	0.20536115	"5955"	1.08375636	"27527"	1.16610946	"29001"	1.20657881	"2788"	1.26485904	
"27352"	"7666"	1.16822472	"8648"	1.54032297	"18534"	2.19116563	"7029"	2.21295997	"1125"	2.27686605	"12475"	2.30150612	
"25683"	"9364"	1.16821140	"31329"	1.18300352	"24931"	1.24183540	"30082"	1.27655347	"28482"	1.44879781	"22184"	1.48943538	
"12331"	"26324"	1.19785446	"19161"	1.40623397	"16605"	1.42675251	"10191"	1.97577352	"18279"	2.43023409	"20068"	2.44579764	
"10487"	"5303"	1.26116184	"18754"	1.27022663	"6996"	1.30853692	"16680"	1.32435867	"31754"	1.41398550	"11414"	2.13681333	
"6561"	"30558"	3.35038887	"18116"	4.14499388	"30339"	4.19380127	"18775"	4.22087633	"1709"	4.22223765	"28325"	4.25634377	
"18226"	"32020"	1.21936501	"28638"	1.24600619	"17674"	1.27148201	"13276"	1.31801995	"1266"	1.36076295	"6094"	1.40470101	
"28425"	"31684"	0.45594017	"20946"	1.47714723	"6918"	1.60182551	"26556"	1.77290005	"25495"	2.42503533	"17159"	2.47741294	
"16955"	"31083"	1.10448914	"27973"	1.24758001	"24338"	1.30138001	"12681"	2.04661275	"11036"	2.06577903	"13124"	2.07171183	
"18787"	"18540"	2.03505549	"7263"	2.07230701	"13491"	2.09390759	"1266"	2.14733672	"3610"	2.16033262	"30619"	2.17642083	
"21307"	"7039"	2.11298292	"5521"	2.18125075	"2788"	2.22970316	"8648"	2.23412605	"7263"	2.23606403	"1266"	2.26307514	
"16959"	"12778"	0.18288422	"801"	1.06867223	"2321"	1.08340545	"8433"	1.09581351	"32216"	1.21346868	"5707"	1.50569306	
"16317"	"24180"	1.08371745	"13454"	1.27637287	"6918"	1.28591455	"15860"	1.34360506	"15674"	1.36476446	"16949"	1.39420235	
"518"	"5303"	1.05394696	"6996"	1.08091388	"31754"	1.18636246	"16680"	1.21918460	"18754"	1.26709338	"30625"	1.45017134	
"1527"	"25888"	1.03320269	"15380"	1.13994374	"7064"	1.18442231	"3196"	2.07091851	"24752"	2.09376936	"9364"	2.10156758	
"29740"	"22473"	2.36494756	"7598"	2.38634941	"19683"	3.10477155	"13454"	3.12879507	"11685"	3.18310879	"16949"	3.27759228	
"24617"	"29286"	0.75658751	"21"	1.17511773	"11154"	1.17692926	"23003"	1.18151890	"19477"	1.21359433	"23737"	1.22491752	
"6435"	"30689"	1.15875187	"7029"	1.19711017	"11927"	1.24381019	"18995"	1.30883792	"8876"	1.33230517	"10000"	1.37669560	
"20807"	"31689"	0.68817729	"11382"	1.21760754	"23053"	1.37789041	"17951"	1.40102783	"31163"	1.45376771	"28127"	1.49723016	
"20918"	"15874"	0.27103276	"12510"	0.30263464	"25668"	0.40269576	"18839"	0.41310478	"32099"	0.43627470	"29902"	0.44130411	
"12647"	"10908"	0.15313286	"340"	1.27175308	"32378"	1.33811061	"8184"	1.37699329	"18839"	2.01923162	"2486"	2.08420311	
"25989"	"15646"	2.10149487	"3714"	2.20616692	"11168"	2.22255514	"7151"	2.25741695	"27628"	2.25907908	"17181"	2.26047053	
"17501"	"11781"	1.61641343	"21207"	1.64830329	"13124"	1.64934244	"29352"	2.12701111	"18235"	2.53278796	"11382"	2.56060918	
"28318"	"12510"	1.10574745	"340"	1.11525150	"2486"	1.16295195	"18839"	1.18705813	"12647"	1.19522376	"20406"	1.28000434	
"32535"	"11927"	0.09857273	"16821"	0.27483467	"8876"	1.03747501	"10000"	1.14485432	"19906"	1.15595396	"28577"	1.18116548	
"28985"	"19992"	0.26396796	"4632"	0.37527154	"4514"	1.04935070	"10589"	1.12893733	"10804"	1.14146192	"23556"	1.14468552	
"18793"	"21623"	0.22298580	"3476"	1.12152876	"21"	1.13176375	"31435"	1.14858332	"12681"	1.19021726	"24617"	1.19320022	
"13546"	"10000"	1.27268268	"8876"	1.32526747	"10941"	1.50852824	"30689"	1.55512485	"19244"	1.71642689	"22696"	2.21684784	
"30375"	"26892"	2.10909284	"14986"	2.16155117	"6393"	2.30515869	"30558"	2.43577203	"15442"	2.47146000	"26111"	2.66427850	
"22680"	"1891"	0.48477422	"21776"	0.50733716	"21059"	0.52000739	"10910"	1.19142726	"3056"	1.23588743	"30752"	1.36330434	
"13220"	"9734"	2.18673340	"27467"	3.19778737	"21617"	3.20399509	"2564"	3.24526845	"28577"	3.29032702	"17158"	3.31266008	
"588"	"4514"	1.07130046	"31684"	1.27747438	"10129"	1.32561754	"7252"	1.35535676	"28425"	1.73341455	"31324"	2.07511592	
"18126"	"21059"	1.46037896	"22680"	1.53276743	"1891"	1.81346003	"21776"	1.93806378	"15100"	1.94085900	"16605"	2.00620193	
"32457"	"4244"	3.18559482	"9326"	3.32142685	"7129"	3.35641188	"15541"	3.38569211	"25240"	3.46997912	"18533"	3.56187489	
"28101"	"18279"	0.45627154	"21396"	0.57628935	"1491"	1.00539436	"9138"	1.32727912	"2646"	1.50054654	"818"	1.50758908	
"25996"	"25875"	1.12943322	"29286"	1.14039420	"7494"	1.49687336	"18235"	1.51293964	"24617"	1.69838509	"8865"	1.87128316	
"27314"	"32213"	1.14862589	"16276"	2.11145549	"25989"	2.15931449	"14745"	2.16119814	"19906"	2.20183723	"7029"	2.20293298	
"11765"	"21207"	2.08600477	"26008"	2.18378633	"1369"	2.20979597	"15878"	2.26340679	"12140"	3.07022312	"11781"	3.14860750	
"27947"	"8865"	0.19538106	"15671"	1.17232787	"26474"	1.33734684	"6723"	1.44823733	"18110"	1.63174495	"18533"	1.64288558	
"4840"	"8648"	0.20506257	"27352"	1.52704257	"21307"	2.18256637	"7039"	2.19350848	"11995"	2.24418868	"15595"	2.25845196	
"9011"	"8917"	1.14943779	"31684"	1.15699808	"26556"	1.16656880	"12171"	1.26118761	"6918"	1.26998888	"4514"	1.27679564	
"21318"	"17290"	0.50645345	"16276"	1.09702253	"31023"	1.13075898	"19906"	1.16902389	"21617"	1.19778250	"4617"	1.27459906	
"31250"	"17702"	0.19030677	"21407"	1.05615130	"14264"	1.08940901	"24514"	1.15749267	"1491"	1.15777736	"15151"	1.18528871	
"18632"	"5961"	0.66140833	"26761"	1.15260800	"10804"	1.17637638	"13491"	1.26318465	"15860"	1.36327824	"15452"	1.38346930	
"16836"	"27467"	2.25030792	"5157"	2.32918324	"14575"	2.33560818	"10487"	2.98611605	"32352"	3.30203838	"9873"	3.36479438	
"1944"	"26064"	1.15356475	"9533"	1.19684546	"3848"	1.22668630	"23902"	1.30000058	"28042"	1.35745295	"9609"	1.38350849	
"30980"	"23003"	1.37831296	"1784"	1.38592513	"9205"	1.41018358	"24617"	1.45723193	"19477"	1.46812739	"31163"	1.47737848	
"3844"	"2402"	1.41657665	"518"	1.64728210	"16680"	2.42904535	"18754"	2.43498324	"31062"	2.53642903	"31754"	2.58336861	
"2825"	"24617"	1.72428384	"23984"	1.76233737	"29286"	2.05365184	"30955"	2.07697515	"28318"	2.34807696	"9649"	2.41613174	
"28155"	"7707"	0.29047829	"26735"	0.34378214	"11233"	0.40501167	"19330"	0.49660224	"10106"	0.76505744	"29563"	1.28409871	
"16251"	"6772"	1.03634851	"5685"	1.10768785	"19164"	1.30916436	"11749"	1.43319999	"4244"	2.04461646	"4514"	2.05977682	
"10788"	"7064"	1.67013135	"3343"	1.69278583	"25888"	1.73144669	"14292"	1.73262333	"9734"	2.19940284	"24113"	2.35111759	
"28586"	"1871"	1.07788017	"11036"	1.09356597	"27973"	1.11694594	"28127"	1.13959495	"19477"	1.14079372	"14000"	1.15971415	
"1022"	"5550"	0.22128891	"25275"	0.26599582	"7533"	0.36895853	"13124"	1.19813181	"28947"	1.29985235	"31435"	1.36858239	
"7583"	"5053"	2.22589679	"3341"	2.25134458	"21254"	2.26585983	"9775"	2.28183629	"18226"	2.32914762	"10079"	2.52377847	
"21941"	"8184"	0.36859373	"32378"	0.56426796	"7707"	1.06275864	"29563"	1.13857085	"2486"	1.16935149	"11233"	1.17729203	
"7217"	"30292"	0.12884848	"8009"	1.17731316	"28411"	1.22825702	"3195"	1.31749398	"13364"	2.13409713	"6772"	2.14465800	
"10179"	"2646"	0.07148530	"24514"	0.17288698	"5571"	0.21896713	"21407"	0.21943383	"15151"	0.22728273	"818"	0.29172161	
"5561"	"22670"	1.27776119	"19756"	2.26150384	"21623"	2.36532217	"18793"	2.36912990	"12780"	2.47158019	"12717"	3.07323875	
"25611"	"20068"	1.26229452	"16955"	1.36719388	"26474"	1.47404621	"27973"	1.52454476	"19161"	1.92303837	"818"	2.09919687	
"4675"	"29352"	1.26435849	"25611"	1.51564175	"12681"	1.57862226	"3476"	1.79915275	"26474"	1.88764715	"17501"	1.90346895	
"26290"	"24514"	2.03684872	"15151"	2.07234154	"12647"	2.08864372	"17702"	2.09472073	"12717"	2.09538213	"28318"	2.11948393	
"10577"	"16125"	1.53399754	"12140"	1.61047728	"21207"	1.61871070	"28947"	1.67951633	"1198"	1.75943326	"31435"	1.83043816	
"11956"	"9938"	1.00602448	"17951"	1.10811854	"31146"	1.69014011	"4942"	1.90619897	"31689"	1.96893448	"20807"	2.04551798	
"20121"	"12055"	2.35780164	"4644"	3.25284958	"14986"	3.39725620	"26644"	3.41079034	"14292"	3.44845166	"11986"	3.51603318	
"3088"	"647"	0.62136047	"21617"	1.30060260	"31023"	1.36914968	"24669"	1.44036113	"2564"	2.22456562	"31509"	2.22542325	
"703"	"23556"	1.01417588	"13364"	1.08536596	"29052"	1.10054770	"19992"	1.10510655	"4514"	1.12602033	"28985"	1.15886140	
"31726"	"32535"	1.13372529	"16821"	1.14110938	"11927"	1.21188986	"7666"	1.22563160	"18534"	1.27596976	"1125"	1.34345756	
"18656"	"10487"	0.42321900	"6996"	1.11679681	"5303"	1.16205715	"31754"	1.18142906	"16680"	1.33670019	"18754"	1.38460896	
"24977"	"900"	1.10454922	"265"	1.18603436	"11036"	1.23897051	"14000"	1.27772143	"19477"	1.27900432	"9205"	1.31933647	
"28492"	"30752"	0.36446315	"572"	1.04607417	"20918"	1.05704047	"16125"	1.09512123	"10106"	1.10026807	"22680"	1.10319962	
"24114"	"12510"	0.17288536	"25668"	0.17798748	"18839"	0.28335551	"20918"	0.29385071	"29902"	0.31910306	"20406"	0.33382556	
"31279"	"9138"	1.28184941	"21396"	1.28428430	"28101"	1.29200505	"30082"	1.31910187	"31987"	1.32809672	"18279"	1.40077869	
"1411"	"10788"	0.64208877	"14292"	1.12864352	"3343"	1.31133816	"25888"	1.37639550	"7064"	1.40223970	"31023"	2.14776843	
"28856"	"5303"	0.00881897	"6996"	0.06595336	"31754"	0.17140194	"16680"	0.18381592	"18754"	0.23172470	"518"	1.06276594	
"27645"	"23382"	1.36611513	"13124"	1.38811253	"25275"	2.17198717	"21207"	2.28445370	"1022"	2.29202153	"7533"	2.29611508	
"24766"	"1944"	0.33475350	"3848"	1.10806720	"23902"	1.13679372	"9533"	1.13790803	"9609"	1.15532663	"31925"	1.17715780	
"12035"	"29052"	0.43057274	"15555"	0.45255752	"4399"	0.71644982	"6094"	1.09832204	"1971"	1.17113731	"17181"	1.17213111	
"1345"	"18226"	1.37089473	"7263"	2.07208836	"13276"	2.08027203	"6094"	2.13584710	"1266"	2.14711807	"32020"	2.15152971	
"11638"	"22670"	1.35347056	"26008"	2.25038551	"12780"	2.26169238	"26880"	2.33954782	"5561"	2.63123176	"18279"	3.06701335	
"8743"	"21207"	1.14605684	"1198"	2.21213584	"12140"	2.23986423	"23003"	2.29956047	"31435"	2.30606357	"11781"	2.31824861	
"27159"	"5955"	0.17910678	"15583"	0.40498662	"31155"	0.42316878	"2609"	1.09847958	"15452"	1.10719500	"10589"	1.14015924	
"11573"	"31925"	0.43587639	"9533"	0.50437220	"27193"	1.34336486	"24766"	1.47789667	"1944"	1.58623898	"21644"	1.61468865	
"9723"	"7545"	0.49931699	"13758"	1.11987814	"1971"	1.23369229	"2321"	1.24769382	"6094"	1.44029599	"1088"	1.47802688	
"24240"	"11036"	1.09035406	"14000"	1.12910498	"24977"	1.14861644	"30752"	1.21782668	"28492"	1.23692517	"265"	1.30725355	
"26976"	"1198"	0.21164174	"28947"	0.41799822	"11217"	0.45161481	"11154"	0.53636882	"31435"	0.60386553	"5550"	1.21807585	
"14621"	"17158"	2.17390209	"13027"	2.71693377	"22680"	3.17757215	"3848"	3.18075214	"24681"	3.18783063	"26064"	3.19907916	
"23296"	"7583"	2.19558079	"8433"	2.21541318	"21059"	2.25026119	"15234"	2.26646004	"8607"	2.29144332	"21254"	2.32445432	
"3323"	"21407"	0.12040971	"5571"	0.26683787	"24514"	0.30394286	"15151"	0.33173889	"10179"	0.33984354	"2646"	0.41132884	
"7024"	"1542"	1.09389165	"28947"	1.22691116	"31987"	1.23297572	"21623"	1.26801122	"572"	1.32184454	"17822"	1.34235343	
"30455"	"7217"	1.24267158	"6772"	1.34034259	"28411"	1.34174982	"11749"	1.35363242	"5685"	1.35688741	"30292"	1.37152007	
"24009"	"7494"	1.30893874	"18235"	1.46423380	"7024"	2.32833963	"25875"	2.33875888	"17822"	2.38247899	"25996"	2.38965033	
"26144"	"22379"	1.32344940	"8644"	1.34733957	"22499"	1.41603138	"21538"	1.45921889	"25398"	1.73048302	"26349"	1.75208186	
"13337"	"19161"	1.22948079	"18126"	1.42417140	"22680"	1.57337719	"21059"	1.58318050	"16605"	1.61824027	"25611"	1.72870032	
"18956"	"27947"	0.36242811	"8865"	0.45576836	"6723"	1.19087232	"25875"	1.33315241	"15671"	1.43271517	"26474"	1.57033688	
"25499"	"29352"	0.62133852	"22680"	1.09315702	"10910"	1.26265380	"18110"	1.30251425	"20068"	1.30971746	"3056"	1.31547478	
"28358"	"13364"	2.27935525	"10804"	3.07334913	"7385"	3.09070342	"24752"	3.11810068	"20750"	3.13666335	"13758"	3.18739962	
"12295"	"10349"	0.35279984	"13276"	1.19740995	"4741"	1.20306592	"28325"	1.20470449	"32020"	1.23484040	"1088"	1.26138086	
"2883"	"30955"	0.47463222	"23984"	1.16765442	"23053"	1.22821413	"31163"	1.23122480	"28127"	1.27468726	"1784"	1.33069102	
"19972"	"1784"	1.24697723	"23003"	1.25458939	"28127"	1.25806879	"9983"	1.36539377	"31163"	1.60571621	"23053"	1.68667425	
"23797"	"14264"	0.12957525	"3476"	0.27121811	"12681"	0.47689291	"1491"	1.08378389	"31250"	1.16960432	"3323"	1.18847572	
"2725"	"12055"	1.20090616	"14986"	2.26020975	"31509"	2.34466604	"24669"	2.41979932	"3088"	2.42536524	"647"	2.49875784	
"9591"	"21318"	1.06209833	"17290"	1.52773546	"7666"	2.03707736	"16276"	2.08109481	"17150"	2.08484192	"21617"	2.13568416	
"19612"	"21644"	2.40341341	"305"	2.40964303	"31378"	3.04907439	"3848"	3.09759392	"9533"	3.12743476	"9609"	3.14485336	
"24027"	"20084"	0.15850801	"23584"	0.29176612	"20918"	1.04122729	"24338"	1.20477476	"4942"	1.24884301	"24114"	1.25262341	
"29264"	"19161"	1.23820003	"1491"	1.71330416	"18279"	1.76821078	"21396"	1.78513268	"28101"	2.16964121	"13337"	2.31028636	
"15181"	"4244"	1.69678868	"12295"	1.83889399	"10349"	1.86292671	"588"	1.87248243	"27716"	2.13681008	"31905"	2.23723048	
"18096"	"5955"	0.57127014	"27159"	0.71338226	"15583"	0.97927559	"31155"	0.97971571	"19906"	1.47829162	"13491"	1.56790970	
"23504"	"12647"	1.23719357	"10908"	1.39032644	"28318"	2.04196980	"21941"	2.12595007	"340"	2.12982405	"8184"	2.24264366	
"27358"	"20706"	2.13515695	"31083"	2.23081415	"27645"	2.28246726	"23669"	2.68609388	"28318"	3.04483529	"26290"	3.07464863	
"29007"	"17158"	1.98530494	"14621"	2.02222074	"13027"	2.67487041	"27193"	3.27628298	"7291"	3.30624946	"22006"	3.38447616	
"1799"	"20671"	0.20901770	"23529"	0.35234943	"21538"	1.02930682	"3793"	1.07773401	"26379"	1.13992344	"4409"	1.14129141	
"16045"	"16276"	1.34327774	"31023"	2.21753703	"21617"	2.28608411	"10079"	2.29316718	"21318"	2.30747969	"5430"	2.34482682	
"11184"	"1491"	0.42076599	"18279"	0.42809588	"21396"	0.46104874	"28101"	0.82952632	"18793"	1.12637793	"4724"	1.21936619	
"26975"	"20918"	0.10137139	"24114"	0.23217565	"12510"	0.24207957	"15874"	0.32006673	"32099"	0.33490331	"29902"	0.33993272	
"25726"	"8433"	1.28695687	"801"	1.34149541	"16959"	1.38277038	"22196"	1.41233512	"12778"	1.52483828	"11516"	1.88714378	
"3743"	"16959"	1.20261714	"12778"	1.34468503	"32216"	1.34531284	"9408"	1.68215785	"15646"	2.04210244	"7545"	2.06822665	
"22734"	"20126"	0.66757482	"22614"	1.24431307	"4741"	1.29974112	"28325"	1.36631614	"29679"	1.60742166	"21754"	1.83395149	
"7505"	"28936"	1.86756949	"5962"	2.34333719	"22006"	2.38300297	"31713"	2.39571006	"31925"	2.39919300	"25973"	2.41446516	
"2391"	"9938"	1.29386120	"11956"	1.73956053	"17951"	1.87924707	"31146"	2.17974782	"4942"	2.34356564	"31689"	2.46609042	
"29843"	"2953"	1.60794352	"13027"	2.17936155	"31713"	2.34506271	"10118"	2.42217679	"24486"	2.54270869	"28042"	2.59749798	
"5013"	"6561"	2.43308872	"30558"	3.24708341	"30375"	3.26196835	"22734"	3.35283650	"24484"	3.82590930	"20126"	3.95717612	
"20637"	"8433"	1.39253916	"25726"	2.25623633	"801"	2.42483535	"1484"	2.43413382	"21254"	2.45160919	"16959"	2.46611032	
"5534"	"25888"	1.17173062	"8876"	1.26534913	"12475"	1.26584145	"13227"	1.28016153	"16276"	1.31302628	"10941"	1.34117135	
"641"	"8433"	0.40050399	"25726"	1.15287726	"20637"	1.20539988	"801"	1.45504253	"7726"	1.46048602	"1484"	1.46434099	
"16625"	"26761"	2.38389715	"18632"	2.47069575	"9591"	2.48135368	"21318"	2.54345202	"21617"	2.56484760	"17150"	2.56619561	
"2752"	"7726"	1.48689469	"7751"	1.75857633	"27467"	2.22483580	"21538"	2.28343997	"27892"	2.29675315	"17184"	2.30226056	
"9025"	"25499"	0.15687877	"29352"	0.72333589	"22680"	1.19524128	"10910"	1.20781583	"20068"	1.26251461	"1891"	1.28953294	
"13407"	"24617"	0.20924802	"29286"	0.57831409	"18793"	1.14833576	"21623"	1.15214348	"19477"	1.16872986	"572"	1.18796324	
"18726"	"24338"	1.52598729	"20084"	1.54797930	"24027"	1.67737691	"9364"	1.81808476	"23584"	1.87876147	"31329"	2.00971155	
"25722"	"12510"	0.09955079	"18839"	0.18086146	"2486"	0.22394313	"26975"	0.23204132	"24114"	0.24503889	"29902"	0.25945554	
"6441"	"5685"	1.11020452	"19164"	1.17867401	"6772"	1.22001097	"25240"	1.29980346	"11749"	1.43571666	"21336"	1.44243509	
"14648"	"13565"	2.07130185	"5253"	2.09275127	"4840"	2.11886107	"11168"	2.12377350	"12572"	2.14845245	"3347"	2.16478651	
"14288"	"20084"	1.16699530	"24027"	1.29810606	"20078"	1.41528959	"3039"	1.47514838	"23584"	1.49949062	"15874"	2.11593199	
"23393"	"26948"	1.21959432	"25888"	2.07636003	"8876"	2.09233056	"32535"	2.12980558	"12475"	2.14546692	"10000"	2.15203504	
"22787"	"7751"	0.16966019	"2752"	1.58891614	"25600"	2.14201957	"7385"	2.16461272	"14376"	2.16943031	"24752"	2.19200998	
"26499"	"23999"	0.59621935	"26379"	1.50474641	"23529"	1.59369028	"7987"	1.60410958	"3793"	1.64021208	"1799"	1.64466986	
"28262"	"6723"	0.39374506	"18110"	0.66844264	"32099"	1.23306390	"10910"	1.26519434	"25722"	1.30964689	"21059"	1.31481458	
"30368"	"588"	1.15793208	"4514"	1.16882340	"31905"	1.71446094	"6772"	2.11799783	"9081"	2.13220700	"16251"	2.13644383	
"17552"	"1784"	0.12440877	"23003"	0.15941820	"28127"	0.17044582	"31163"	0.38110694	"23053"	0.46206498	"19477"	1.04220651	
"16650"	"11994"	0.28808521	"1022"	1.61609225	"7533"	1.61925747	"13407"	1.64646975	"24617"	1.69133421	"5550"	1.73534035	
"5441"	"18656"	1.52151052	"10487"	1.63589286	"22787"	1.71565273	"22055"	1.75269734	"5157"	1.82064228	"7751"	1.88531292	
"15276"	"19477"	0.33119394	"9205"	0.38913776	"24977"	1.06980129	"900"	1.13830897	"15671"	1.14789063	"28586"	1.19040022	
"8090"	"19683"	2.26864683	"16949"	2.45854906	"13454"	2.50221346	"4005"	3.24680407	"18823"	3.26015888	"14248"	3.28549531	
"1268"	"26474"	0.27492904	"7987"	1.19911487	"21407"	1.24116375	"2646"	1.28550754	"10179"	1.29621402	"25611"	1.30115798	
"20232"	"31905"	1.42666671	"1869"	1.59925323	"32216"	2.35935009	"3601"	2.36181993	"22196"	2.38385930	"7726"	2.38560357	
"17196"	"9011"	1.17962203	"29001"	1.37929358	"5253"	1.43342022	"12572"	1.43879184	"9078"	1.61758860	"31754"	2.14098058	
"4465"	"22787"	2.05997713	"7751"	2.10465090	"2752"	2.47360672	"15541"	2.58184317	"30625"	2.61186224	"31905"	2.64255350	
"9042"	"19477"	0.44431487	"15276"	0.55147709	"9205"	0.61184773	"29286"	1.33820890	"13407"	1.37762582	"28586"	1.38571293	
"18579"	"22006"	1.11658620	"5962"	2.13171494	"26398"	2.18430087	"19972"	2.20163172	"24766"	2.20219378	"25973"	2.20284291	
"5259"	"10347"	0.29277282	"10804"	0.30817778	"6772"	1.06653958	"13364"	1.15801952	"28985"	1.16671586	"5685"	1.19267344	
"3069"	"7545"	1.16754091	"3743"	1.20837031	"16959"	1.26574757	"12778"	1.34039635	"9723"	1.43381689	"32216"	1.43839993	
"13657"	"3343"	1.42106516	"26398"	2.19152107	"25888"	2.21315068	"3088"	2.23002254	"7914"	2.23216049	"7064"	2.31758587	
"11336"	"17552"	0.23251524	"28127"	0.23930044	"31163"	0.25063251	"23053"	0.26360094	"1784"	0.29530421	"23003"	0.33031363	
"26921"	"1088"	1.22042448	"6209"	1.23784196	"18116"	1.37694916	"12295"	2.13318919	"16009"	2.13357454	"4741"	2.17298981	
"8288"	"13758"	3.34781959	"22196"	3.37264065	"9775"	3.40716003	"32313"	3.45646254	"22577"	3.53206569	"11516"	3.53439894	
"738"	"21825"	0.23295114	"13407"	1.16864136	"24617"	1.26830035	"25875"	1.34412437	"11382"	1.35537644	"11994"	1.49634003	
"27475"	"6970"	0.25607025	"15671"	1.04589528	"18839"	1.10315160	"15151"	1.10608104	"24514"	1.10647981	"7578"	1.11622178	
"10659"	"18279"	0.08267725	"11184"	0.40021315	"28101"	0.42931317	"1491"	0.61689751	"21396"	0.65718026	"818"	1.07827591	
"20127"	"17552"	0.13806641	"1784"	0.16043437	"23003"	0.16804654	"28127"	0.25371772	"11336"	0.37058166	"31163"	0.51917335	
"17407"	"25683"	0.28938492	"30082"	1.06762596	"24931"	1.12478014	"9364"	1.14857077	"31329"	1.18196727	"28482"	1.25154601	
"11992"	"12839"	1.64565519	"20444"	1.65129696	"21335"	2.13404247	"2261"	2.16119094	"16899"	2.16159356	"4741"	2.20681361	
"5921"	"3343"	1.32371824	"19244"	1.57672745	"4958"	2.11009098	"26398"	2.13643258	"25888"	2.14220024	"9091"	2.14997148	
"13663"	"13491"	0.56798417	"15452"	0.63365898	"21019"	0.88262405	"18096"	1.16445803	"11441"	1.17446482	"9734"	1.25127037	
"20091"	"18110"	0.35547487	"28262"	0.60512141	"6723"	0.84510493	"21776"	1.14176817	"15874"	1.24972164	"1268"	1.28236422	
"16589"	"25996"	0.13492621	"29286"	1.17327959	"25875"	1.26435943	"18235"	1.46663517	"7494"	1.63179957	"27947"	1.70878749	
"21009"	"13454"	0.27947822	"19683"	0.41704620	"16949"	0.42548336	"4741"	1.35641857	"18823"	1.36430966	"29679"	1.39012651	
"23229"	"2752"	1.31615998	"1869"	2.20801149	"7726"	2.28032375	"22787"	2.32998356	"24486"	2.36531609	"7751"	2.44241635	
"15504"	"1944"	1.22227779	"24766"	1.24946201	"9591"	2.05842740	"26064"	2.06871303	"9533"	2.11155397	"3848"	2.14139481	
"12244"	"21318"	1.14596106	"32213"	1.14618547	"16276"	1.21105588	"14650"	1.54096645	"17290"	1.61159818	"21617"	2.05182143	
"218"	"10407"	1.16524905	"1784"	2.06258624	"9205"	2.06572505	"23003"	2.07019841	"17552"	2.08921978	"20127"	2.09784812	
"118"	"27358"	1.20851697	"24027"	2.08640527	"20084"	2.11967807	"27645"	2.16221712	"14288"	2.21170079	"23984"	2.22153525	
"31682"	"21753"	0.69592408	"29902"	0.92239944	"32099"	1.01859579	"25722"	1.09850442	"12510"	1.19805522	"26975"	1.20753764	
"3436"	"8184"	0.26567529	"21941"	0.47100372	"32378"	0.68336422	"572"	1.01525708	"20918"	1.03168804	"28492"	1.03393400	
"13331"	"8311"	2.24500664	"3601"	2.41658051	"12244"	2.43740804	"14745"	2.45800207	"21318"	2.51062506	"27314"	2.51715939	
