ID	1st	1st dist	2nd	2nd dist	3rd	3rd dist	4th	4th dist	5th	5th dist	6th	6thdist
"1799"	"20671"	0.15477005	"13795"	0.18051797	"27102"	0.20648453	"11201"	0.23471618	"23529"	0.30565129	"1425"	1.00116572	
"16045"	"8825"	1.00452272	"10539"	1.01296414	"16276"	1.02506733	"4955"	1.05542192	"32023"	1.06916642	"3886"	1.09696107	
"11184"	"31896"	0.07516802	"24143"	0.12902100	"3531"	0.13104156	"19073"	0.14281486	"13856"	0.17503383	"7160"	0.20367719	
"26975"	"4163"	0.03541766	"27531"	0.03761506	"20918"	0.06406039	"26947"	0.06708774	"3916"	0.06838226	"9051"	0.07092482	
"25726"	"25245"	1.00469824	"641"	1.00486082	"28037"	1.00849354	"7781"	1.01257386	"6079"	1.01274185	"8433"	1.01395081	
"3743"	"16073"	0.26087715	"24991"	0.37032747	"10221"	1.00087239	"27961"	1.00299680	"29704"	1.00693441	"15197"	1.00752395	
"22734"	"20126"	0.39880928	"27376"	1.00476237	"11907"	1.01252754	"10271"	1.01830668	"10691"	1.02212713	"9980"	1.02295138	
"7505"	"28936"	1.11983640	"31713"	1.43855853	"4043"	1.47122236	"22329"	1.49072471	"28042"	1.50092192	"25451"	1.73312471	
"2391"	"9938"	1.03242081	"943"	1.04294967	"11956"	1.10954122	"17951"	1.12540439	"1149"	1.12874775	"12065"	1.12927301	
"29843"	"30278"	1.00302378	"16751"	1.01298530	"4686"	1.01299181	"17649"	1.02167714	"5754"	1.02472532	"4607"	1.03845716	
"5013"	"27376"	1.42977288	"6561"	1.43639139	"29904"	1.73577330	"4236"	1.73827764	"30375"	1.73981454	"26729"	1.73987920	
"20637"	"641"	1.00544230	"1451"	1.00962712	"6079"	1.01048912	"8433"	1.03292297	"20742"	1.03319216	"7835"	1.03606487	
"5534"	"32023"	0.22503664	"8825"	0.48542983	"3886"	1.00151666	"32530"	1.00271421	"29355"	1.00417946	"27831"	1.01027600	
"641"	"6079"	0.07029583	"1451"	0.20200822	"8433"	0.25160658	"7835"	0.27287592	"17167"	0.28325728	"1699"	0.28908854	
"16625"	"29440"	1.03600357	"3333"	1.43978935	"26850"	1.44011350	"30311"	1.44012505	"26761"	1.44404189	"306"	1.44430182	
"2752"	"3034"	0.23928176	"3388"	1.00216065	"22043"	1.00250003	"16457"	1.01952212	"23229"	1.02435248	"29916"	1.02537213	
"9025"	"25499"	0.10916011	"22183"	0.18589105	"21861"	0.21628860	"29352"	0.43026820	"11223"	1.00140489	"30291"	1.00282522	
"13407"	"23005"	0.05610841	"21694"	0.08986685	"13205"	0.09924353	"30022"	0.11599960	"11514"	0.11818100	"24617"	0.12181029	
"18726"	"27748"	1.04384958	"6755"	1.08651842	"933"	1.13840865	"12867"	1.14432490	"5907"	1.16052843	"12017"	1.17670242	
"25722"	"29169"	0.02841422	"30527"	0.03187108	"17308"	0.04140600	"9680"	0.04976873	"12270"	0.05068127	"7885"	0.05640961	
"6441"	"13677"	1.00021426	"5685"	1.00522583	"24034"	1.00545228	"3084"	1.00670682	"1588"	1.00718071	"19164"	1.00755640	
"14648"	"7775"	1.00547165	"15337"	1.01443685	"10196"	1.41487363	"13565"	1.41545250	"5253"	1.41553060	"21140"	1.41561445	
"14288"	"9539"	1.00277991	"21020"	1.00524800	"20084"	1.00660378	"13826"	1.00686113	"12007"	1.00759294	"23357"	1.01309005	
"23393"	"20063"	1.00102692	"3082"	1.00416563	"2574"	1.05785851	"14098"	1.06640507	"25888"	1.41566737	"15337"	1.41592481	
"22787"	"7751"	0.12726571	"2383"	0.40981065	"12945"	1.00429416	"15698"	1.00535178	"11939"	1.00761505	"19547"	1.00840315	
"26499"	"14492"	0.44067311	"23999"	0.44827192	"26379"	1.09103554	"3793"	1.09961824	"23529"	1.10020934	"1799"	1.10184377	
"28262"	"27103"	0.18259752	"6092"	0.18734730	"6723"	0.19915578	"11223"	0.23198343	"28056"	0.24048012	"5517"	0.24856528	
"30368"	"3529"	0.17597301	"6821"	0.27291541	"25454"	0.29271028	"5851"	0.35643827	"3619"	1.00020672	"11333"	1.00148483	
"17552"	"31162"	0.06251183	"3446"	0.06690652	"21194"	0.06715823	"8827"	0.07266549	"20127"	0.08313642	"1784"	0.08938084	
"16650"	"7195"	0.07959345	"11994"	0.15386692	"5330"	0.45169326	"4988"	0.45419200	"31616"	0.48374393	"16708"	0.49813971	
"5441"	"18656"	1.05480963	"10487"	1.07484887	"7972"	1.08676322	"16457"	1.08772105	"2572"	1.09076216	"20437"	1.09156843	
"15276"	"16429"	0.15441367	"9205"	0.21247817	"6600"	0.21619694	"19477"	0.23110225	"31511"	0.26307573	"3501"	0.33913271	
"8090"	"12038"	1.10849108	"19486"	1.41621100	"8808"	1.42104959	"7285"	1.42658394	"3811"	1.42836265	"24886"	1.43144472	
"1268"	"26474"	0.22508774	"11115"	0.31798280	"9933"	0.33041055	"27028"	0.35361643	"8374"	0.37568337	"11430"	0.39937525	
"20232"	"22398"	0.23938416	"31905"	1.05133942	"24704"	1.09660594	"1869"	1.10624973	"9877"	1.11044048	"7726"	1.43875002	
"17196"	"1702"	1.00364903	"11999"	1.00666876	"9011"	1.00731373	"21263"	1.01072052	"10765"	1.01438775	"8502"	1.01991309	
"4465"	"687"	1.00469329	"19547"	1.20443497	"2383"	1.21890912	"22787"	1.23932312	"23545"	1.26096175	"7751"	1.26760317	
"9042"	"6600"	0.19698878	"14208"	0.21367014	"31511"	0.22249383	"19477"	0.23392128	"16429"	0.26189243	"9205"	0.31246481	
"18579"	"22006"	1.00240237	"24570"	1.00376002	"15430"	1.00479745	"25256"	1.02044342	"22341"	1.04500527	"16253"	1.09753850	
"5259"	"11627"	0.13295839	"10347"	0.21484149	"10804"	0.22433933	"13281"	1.00324793	"28985"	1.00773450	"814"	1.01166822	
"3069"	"2380"	0.37941199	"7781"	1.00279523	"23588"	1.00413837	"12044"	1.00437828	"7545"	1.00478904	"30382"	1.00578870	
"13657"	"3343"	1.03419277	"18389"	1.41910896	"28053"	1.42198585	"25888"	1.42260282	"12043"	1.42283885	"12298"	1.42373620	
"11336"	"9218"	0.06836589	"1662"	0.10770533	"3446"	0.13905629	"16189"	0.15216644	"21194"	0.15488436	"17552"	0.16204407	
"26921"	"8562"	1.00151588	"22629"	1.00617166	"18002"	1.00635539	"15262"	1.00638847	"18361"	1.00858160	"6209"	1.00945890	
"8288"	"8996"	1.09630629	"11568"	1.43553757	"23402"	1.47320678	"2194"	1.74889906	"13758"	1.74895781	"8521"	1.75150922	
"738"	"21308"	0.09908020	"21825"	0.14574615	"750"	0.15108013	"124"	0.19187964	"5221"	1.00010409	"26066"	1.00159703	
"27475"	"29433"	0.07398580	"23914"	0.20030344	"6970"	0.22226125	"11620"	0.29840866	"31193"	1.00025007	"15671"	1.00061195	
"10659"	"18279"	0.06169674	"19616"	0.11392069	"13856"	0.14667516	"13871"	0.16331481	"3531"	0.16503672	"19073"	0.19350587	
"20127"	"14173"	0.02843418	"31162"	0.03611075	"17552"	0.08313642	"8827"	0.09321036	"9009"	0.09352515	"12962"	0.10559633	
"17407"	"25683"	0.16855732	"32502"	0.46968227	"9887"	1.00049276	"30082"	1.00090617	"16996"	1.00174159	"7139"	1.00194186	
"11992"	"31819"	1.00769968	"1747"	1.07074655	"20444"	1.08149265	"12839"	1.10514787	"23035"	1.41897998	"27090"	1.41911964	
"5921"	"3343"	1.03244084	"19244"	1.08047894	"14690"	1.22737718	"11146"	1.41587663	"4958"	1.41649186	"12298"	1.41870697	
"13663"	"30957"	0.26002340	"152"	0.39592314	"18408"	0.43855764	"13491"	0.46248711	"4221"	0.52205007	"4432"	0.57251509	
"20091"	"6092"	0.16716008	"18110"	0.22205129	"27103"	0.23216276	"11223"	0.31842678	"5517"	0.33550836	"28262"	0.33819904	
"16589"	"25996"	0.10472875	"6201"	0.59808645	"13274"	0.61404115	"25875"	0.65720855	"29286"	1.00506567	"6280"	1.03190309	
"21009"	"854"	0.20901453	"23998"	0.21084758	"13454"	0.21143286	"19683"	0.26651713	"16949"	0.26701116	"24886"	0.27258530	
"23229"	"22043"	1.01913569	"222"	1.02099183	"3034"	1.02239294	"2752"	1.02435248	"19545"	1.03437433	"29916"	1.41528032	
"15504"	"16307"	0.54395824	"15081"	1.00068555	"3727"	1.00155242	"15271"	1.00466406	"1944"	1.00822426	"8572"	1.00823114	
"12244"	"26263"	1.00238215	"32213"	1.00938093	"27539"	1.07335733	"12309"	1.07607991	"14650"	1.08981609	"19060"	1.41534809	
"218"	"30129"	1.00520713	"14982"	1.00527979	"24145"	1.00623520	"25743"	1.00671576	"10407"	1.00697844	"6824"	1.00725681	
"118"	"12007"	1.00028961	"3865"	1.41455598	"1531"	1.41481608	"9539"	1.41545695	"29899"	1.41581664	"181"	1.41608789	
"31682"	"18150"	0.41618389	"11174"	0.55963204	"29902"	0.59449513	"32099"	0.60174267	"27038"	0.60248339	"21753"	0.60596201	
"3436"	"13728"	0.11840021	"11190"	0.13004341	"747"	0.13733065	"13350"	0.13890286	"8184"	0.16966595	"4411"	0.19934270	
"13331"	"8311"	1.42139282	"27504"	1.42265970	"30780"	1.44383012	"3601"	1.44495657	"3435"	1.45068630	"26319"	1.45242073	
"22858"	"32188"	1.01855886	"23925"	1.03907695	"857"	1.07655232	"6971"	1.10742903	"7166"	1.41495777	"28863"	1.41548634	
"23642"	"31267"	1.01487567	"2039"	1.01720316	"11783"	1.01741722	"17822"	1.01809382	"7024"	1.01841678	"14907"	1.02244256	
"27763"	"108"	1.00394018	"2364"	1.01089885	"10225"	1.01394463	"833"	1.01514330	"13989"	1.01866165	"4351"	1.02068124	
"19353"	"7656"	1.03037492	"7492"	1.42273945	"361"	1.43681443	"2408"	1.43798627	"8593"	1.44310768	"26064"	1.45171686	
"24075"	"20583"	1.07244037	"7070"	1.42234162	"10221"	1.42584392	"1409"	1.42902971	"3743"	1.42989853	"27306"	1.43026552	
"26972"	"9364"	0.05128618	"16934"	0.12632246	"12867"	0.16573667	"5907"	0.18131654	"31329"	0.20357191	"26969"	0.22692255	
"19508"	"20796"	1.00009488	"2883"	1.00235191	"14587"	1.00543759	"11382"	1.00624715	"28579"	1.01283691	"13788"	1.01579062	
"25251"	"20358"	0.11202920	"10112"	0.14057617	"9669"	0.19223474	"265"	0.22320722	"19659"	0.30787047	"12890"	1.00125148	
"728"	"12171"	0.10887336	"8917"	0.17670597	"16662"	0.20888308	"2609"	0.22446016	"21983"	0.24795436	"29539"	0.25620104	
"13271"	"31435"	0.12646407	"29058"	0.19376718	"27863"	0.21124309	"11154"	0.23237077	"21343"	0.25812169	"6456"	0.26956700	
"27848"	"26909"	0.09745980	"12081"	0.26938013	"13716"	0.27873179	"17297"	0.58076273	"18540"	1.00240927	"7263"	1.00280953	
"20605"	"10086"	0.03507711	"18830"	0.05482772	"9612"	0.08359445	"29180"	0.10549758	"24209"	0.11590430	"26049"	0.11926996	
"29425"	"13731"	1.00107607	"30804"	1.00135399	"10798"	1.00176253	"21147"	1.00217437	"1538"	1.00226965	"13555"	1.00262329	
"5482"	"9091"	1.74334718	"22300"	1.74652204	"25218"	1.77192001	"30596"	1.78400687	"24942"	1.82350598	"20473"	10.1496471	
"10052"	"12304"	1.06890768	"16999"	1.07451486	"646"	1.09697587	"31652"	1.42452767	"27090"	1.43514981	"30945"	1.43748164	
"25596"	"24841"	1.00164757	"20646"	1.00347030	"1964"	1.00580653	"2052"	1.00603406	"8224"	1.00775085	"25555"	1.00831157	
"31473"	"29534"	1.00074156	"18457"	1.00159129	"22550"	1.00251716	"11010"	1.00286241	"10349"	1.00529909	"31414"	1.00666435	
"10260"	"16959"	0.05043391	"12778"	0.08610481	"22676"	0.11271484	"23719"	0.12079276	"32209"	0.39822876	"13621"	1.00010016	
"38"	"10005"	1.03664379	"17068"	1.05935759	"25998"	1.07853732	"1944"	1.11158481	"24766"	1.11479892	"8572"	1.12463537	
"31572"	"31420"	0.22103252	"11441"	0.30208360	"22341"	1.00872939	"19695"	1.01093828	"23658"	1.01846606	"11652"	1.01977646	
"4721"	"20339"	1.06363208	"11394"	1.09469459	"9647"	1.11855128	"19046"	1.41525261	"10788"	1.41826801	"12937"	1.42142624	
"1571"	"13686"	1.42498455	"21699"	1.43546074	"27351"	1.43548409	"7964"	1.73233652	"31280"	1.73235290	"23823"	1.73287025	
"19007"	"17425"	0.11832527	"16168"	0.12164220	"4952"	0.12964587	"20849"	0.13724769	"15508"	0.13828725	"9271"	0.14289588	
"10224"	"31228"	0.40813878	"6290"	0.51257876	"26324"	0.55907359	"9271"	1.00764993	"19757"	1.01089215	"8370"	1.01650308	
"16797"	"31055"	0.08788458	"4944"	0.12133644	"18342"	0.18384226	"25198"	1.00179345	"30291"	1.00181617	"24401"	1.00187295	
"25307"	"11597"	1.00399330	"20080"	1.00675871	"22949"	1.04489913	"22703"	1.05636960	"16189"	1.41477251	"11382"	1.41705371	
"2194"	"27532"	1.42754825	"3624"	1.43034600	"22498"	1.43070051	"28917"	1.43293533	"28482"	1.48639210	"13039"	1.48836782	
"22111"	"22232"	1.00358598	"7029"	1.41584997	"12095"	1.42077242	"6672"	1.42153992	"27314"	1.42240197	"32216"	1.42352032	
"30178"	"7263"	0.19655207	"1266"	0.23987387	"18540"	0.24808775	"6291"	0.25857043	"20683"	0.63310695	"15238"	1.00130451	
"8837"	"24896"	0.16208136	"25674"	0.37078660	"7679"	0.60674128	"11099"	1.00593951	"24038"	1.00707155	"16602"	1.01023796	
"7934"	"9533"	0.04368605	"31925"	0.21237336	"10511"	0.24222158	"9732"	0.30277059	"11573"	0.30497783	"8572"	1.00056894	
"5072"	"21776"	0.23155338	"1891"	0.33825849	"22680"	0.45474540	"4615"	0.47448395	"21059"	0.59716862	"12613"	0.66262421	
"2279"	"29227"	1.00613399	"31659"	1.01030874	"2002"	1.07495597	"13813"	1.42001415	"30959"	1.42214896	"30328"	1.42411033	
"17731"	"12479"	0.11433975	"1605"	0.22972292	"900"	1.00234333	"16059"	1.01055255	"4256"	1.01803612	"12757"	1.01837120	
"15580"	"9325"	0.12241644	"15239"	0.22309892	"13385"	0.33325793	"26144"	0.39012918	"7101"	0.41965059	"17506"	0.44412203	
"15721"	"29986"	1.00561276	"12633"	1.04349603	"15028"	1.04404824	"3783"	1.05547864	"28148"	1.41451350	"13621"	1.41520059	
"28254"	"3084"	0.10165610	"5685"	0.12372914	"23207"	0.14990150	"13677"	0.15465322	"11749"	0.19597975	"19959"	0.20330768	
"1168"	"31754"	0.11792329	"6996"	0.12965917	"11527"	0.16177758	"28856"	0.17728109	"5303"	0.17917676	"13111"	0.22140380	
"6480"	"19453"	0.13707786	"6335"	0.26225669	"11585"	0.30384380	"846"	1.00259969	"4741"	1.00619674	"26892"	1.00784950	
"16339"	"18336"	1.00753112	"20035"	1.01006798	"23296"	1.01415034	"4205"	1.01503303	"605"	1.03061361	"29981"	1.04132547	
"7516"	"23789"	0.11249180	"23647"	0.21586599	"2283"	1.00041039	"18591"	1.00043692	"560"	1.00136071	"7439"	1.01334533	
"18299"	"13109"	1.41543749	"15380"	1.41654319	"14408"	1.42211982	"16430"	1.42646376	"6903"	1.42697178	"32027"	1.42741655	
"15335"	"24102"	0.06382066	"8511"	0.13352547	"19790"	0.22806953	"15486"	0.33636814	"18235"	0.37395988	"8884"	0.47279292	
"18104"	"7784"	0.18706825	"19706"	0.25118382	"18126"	0.29424063	"12613"	1.00514819	"14922"	1.02165058	"12594"	1.03250748	
"4584"	"13774"	1.00355162	"8876"	1.00586100	"30689"	1.01095205	"10000"	1.01845464	"10941"	1.02259524	"14318"	1.03955792	
"4633"	"9260"	0.34162384	"1871"	0.43276043	"11190"	1.05787951	"13105"	1.06011251	"819"	1.06135149	"11858"	1.06160993	
"13109"	"14408"	0.12329514	"22185"	1.00416802	"11010"	1.00537253	"8163"	1.01019941	"31414"	1.01291878	"18457"	1.02187788	
"21715"	"4420"	1.00666751	"2880"	1.01657877	"18072"	1.06488198	"21158"	1.12427457	"18457"	1.41966830	"9082"	1.42002310	
"20774"	"8644"	0.49785451	"6767"	0.69112394	"13235"	0.72860248	"9139"	1.00710384	"24829"	1.02846403	"26144"	1.04265016	
"29121"	"12818"	1.00047789	"4944"	1.00437697	"26338"	1.00685934	"12007"	1.00985657	"16797"	1.02116711	"13124"	1.02129194	
"25849"	"20235"	1.03679770	"30937"	1.42880544	"18089"	1.43073964	"30765"	1.45225898	"10152"	1.45424768	"20621"	1.46102076	
"21486"	"31898"	1.01570092	"9636"	1.03121866	"2941"	1.03587456	"9776"	1.04985965	"10000"	1.41622639	"8876"	1.41675230	
"25669"	"27114"	1.01366701	"31279"	1.05386297	"21843"	1.05407224	"29133"	1.06546766	"12946"	1.07292504	"2231"	1.07806274	
"4071"	"108"	0.82851187	"19249"	0.93607301	"24516"	0.99969626	"7252"	1.02910595	"27503"	1.03251829	"10129"	1.04597837	
"7972"	"13609"	1.00727689	"2572"	1.00829308	"26411"	1.02261945	"18656"	1.02961255	"10487"	1.03251166	"2522"	1.05911500	
"10539"	"17114"	1.00153705	"18426"	1.00874086	"16045"	1.01296414	"14529"	1.01538743	"20683"	1.41564993	"8825"	1.42877726	
"12945"	"15698"	0.11650746	"12649"	0.23839496	"6010"	0.28319159	"20357"	0.57979573	"21809"	1.00108608	"10834"	1.00113462	
"20194"	"18013"	1.00471708	"18063"	1.00558768	"21"	1.01406808	"23737"	1.04104673	"13407"	1.41448130	"23005"	1.41536327	
"25700"	"27973"	0.17613888	"14749"	0.18081880	"16948"	0.19802036	"22199"	0.25420536	"7887"	0.26058388	"27613"	0.27518814	
"8225"	"15335"	1.01964822	"24102"	1.02452045	"23793"	1.03084668	"8511"	1.04517954	"24684"	1.05264245	"6891"	1.07067677	
"26043"	"9366"	1.00198858	"12044"	1.00279884	"29081"	1.00477084	"30382"	1.00636198	"7781"	1.00672061	"3069"	1.01345969	
"492"	"7163"	1.00439388	"32044"	1.01042760	"15501"	1.05232087	"5306"	1.15031437	"16645"	1.41463134	"17698"	1.41594161	
"20796"	"11382"	0.12513515	"28579"	0.15149767	"13788"	0.17413091	"26988"	0.22683038	"19508"	1.00009488	"3094"	1.00010916	
"25795"	"25973"	0.12207799	"21606"	0.13518714	"22324"	0.13984003	"5663"	1.00134982	"24570"	1.00530457	"15430"	1.00575304	
"14661"	"31211"	1.00337246	"7248"	1.01508823	"27539"	1.02163661	"7151"	1.03101134	"24752"	1.41447966	"19096"	1.41536576	
"6464"	"7481"	0.25659120	"2754"	1.00161017	"11014"	1.00214495	"13856"	1.00293639	"26675"	1.00370073	"1897"	1.00557141	
"597"	"17753"	1.01986942	"20030"	1.41542197	"14364"	1.41565622	"28856"	1.41584087	"27809"	1.41595094	"2572"	1.41605245	
"8996"	"23402"	1.00647098	"8288"	1.09630629	"11340"	1.41646900	"17562"	1.41856950	"19777"	1.42531060	"25451"	1.42772077	
"29081"	"7781"	0.13028781	"4323"	0.32716776	"9366"	1.00159092	"6008"	1.00234393	"14895"	1.00401261	"26043"	1.00477084	
"29665"	"6008"	0.34305135	"29081"	1.07171124	"4323"	1.08253572	"7781"	1.09908468	"30621"	1.44493262	"26728"	1.44558436	
"17237"	"12306"	0.09818028	"3702"	0.11720466	"13087"	0.12334834	"13943"	0.23305544	"12474"	1.00084730	"17129"	1.00180880	
"6971"	"857"	0.10254221	"18632"	1.00506013	"13281"	1.05819682	"5961"	1.06429062	"12389"	1.06546032	"6693"	1.07404516	
"15549"	"32313"	1.76780842	"22196"	2.00575455	"20123"	2.00770875	"13758"	2.00801397	"10311"	2.00917736	"27082"	2.01236683	
"25451"	"5943"	0.21116344	"8521"	1.00628539	"19777"	1.00661657	"11340"	1.01274083	"30698"	1.01842383	"18080"	1.02238987	
"12949"	"11201"	1.00185638	"20201"	1.01115382	"20671"	1.01228112	"27102"	1.01478820	"13795"	1.02353034	"6793"	1.02917800	
"3295"	"12744"	0.12545022	"1818"	1.00250931	"11236"	1.01472363	"27426"	1.01559237	"24883"	1.01719509	"2295"	1.01800276	
"8912"	"27539"	1.00283425	"15646"	1.00636572	"14112"	1.01345132	"20239"	1.01429197	"14096"	1.01460528	"25315"	1.02803296	
"11482"	"4940"	1.02246367	"857"	1.41934627	"6971"	1.42166518	"26761"	1.42179775	"19561"	1.42190086	"29440"	1.42304185	
"8235"	"414"	0.36878016	"26728"	1.00000250	"23053"	1.00198202	"29606"	1.00319996	"7404"	1.00337214	"28355"	1.00363198	
"14950"	"25609"	1.01251522	"3350"	1.01262067	"14475"	1.01401491	"17207"	1.01498424	"12158"	1.01561159	"1419"	1.01602996	
"11620"	"6970"	0.08867544	"23914"	0.10865857	"29433"	0.25179969	"27475"	0.29840866	"3916"	1.00132910	"31683"	1.00141406	
"3852"	"21395"	0.16987387	"518"	0.18389303	"14940"	0.27661133	"4218"	1.00167592	"14197"	1.00415245	"4201"	1.00456689	
"1493"	"1669"	0.09622463	"4409"	0.11568825	"3742"	0.13094815	"994"	0.13146235	"24583"	0.20607226	"31686"	0.32383561	
"8346"	"27961"	0.30383475	"29704"	0.33574858	"7070"	0.38797131	"1409"	0.38843896	"4353"	0.42964208	"9408"	0.58911241	
"30761"	"9876"	1.48999010	"31805"	1.49365498	"2876"	1.51896260	"18878"	1.52066842	"32274"	1.54357003	"3990"	1.54490852	
"32256"	"22044"	0.11223447	"26556"	0.13454478	"8696"	0.16341400	"11933"	0.21186738	"636"	0.21211693	"28844"	0.21226868	
"15173"	"1419"	0.48422025	"12158"	0.48721232	"3350"	0.49678280	"25609"	0.49883247	"15813"	0.49918399	"25541"	1.01144419	
"23777"	"22806"	0.13157171	"7648"	0.19762394	"2344"	1.01877669	"17450"	1.02435115	"14511"	1.03352238	"24235"	1.04660405	
"21199"	"1985"	0.20696110	"12440"	0.42439617	"20662"	1.02238098	"12065"	1.03167928	"20807"	1.03308723	"11507"	1.03361366	
"1569"	"19714"	0.11277639	"20649"	1.00027494	"5320"	1.00338194	"12007"	1.00369216	"23359"	1.00377256	"24027"	1.00483326	
"22070"	"24407"	1.01344308	"279"	1.01573366	"15674"	1.01594244	"24564"	1.13136375	"13907"	1.41781820	"26909"	1.41866239	
"11534"	"7139"	0.25046637	"16996"	0.27285615	"30082"	0.29894609	"25683"	1.01941163	"31329"	1.02112718	"21301"	1.02867568	
"28070"	"9271"	0.44903445	"6407"	0.45368196	"8370"	0.46267267	"19007"	0.46833968	"1280"	0.48127933	"4952"	0.48749104	
"24614"	"10047"	0.06099238	"30972"	0.09800530	"31083"	0.12845226	"21714"	0.16475555	"23878"	0.17142554	"24038"	0.19480226	
"4420"	"21715"	1.00666751	"12295"	1.00917846	"23532"	1.01773541	"2880"	1.03481720	"10349"	1.03654225	"20327"	1.04247801	
"9366"	"12044"	0.09964907	"20842"	0.13288041	"30382"	0.16618445	"23342"	0.16729929	"1699"	1.00112622	"13621"	1.00119326	
"4003"	"14461"	0.07147643	"13907"	0.22119451	"9273"	1.00013258	"16899"	1.00078412	"26909"	1.00173238	"142"	1.00227219	
"31886"	"3898"	1.02925141	"18387"	1.08851415	"14214"	1.42113656	"22787"	1.42342096	"19547"	1.42436728	"3132"	1.42483517	
"17829"	"17844"	0.07264637	"24824"	0.20825162	"2685"	0.41709501	"20080"	1.00029945	"11382"	1.00039146	"11336"	1.00167322	
"21861"	"25499"	0.18933175	"9025"	0.21628860	"22183"	0.29526004	"29352"	0.33870322	"5335"	1.00581545	"6092"	1.00674894	
"9880"	"2574"	1.03105292	"6603"	1.04054035	"188"	1.42148712	"7726"	1.42408921	"1502"	1.43007788	"19060"	1.43532982	
"19221"	"5380"	0.10915020	"19771"	0.11329301	"17249"	0.25333662	"16168"	0.26307955	"15508"	0.26523630	"20849"	0.27450500	
"31454"	"14177"	0.08068634	"10295"	0.10818890	"11233"	0.11927390	"26735"	0.12527928	"16208"	0.14629318	"24257"	0.15554322	
"23588"	"7545"	0.15933159	"23349"	0.22405538	"9723"	0.23003347	"15262"	1.00375729	"3069"	1.00413837	"22629"	1.00433882	
"2408"	"26064"	1.00491340	"7656"	1.01441766	"30937"	1.01684466	"30765"	1.01997252	"361"	1.02017964	"8593"	1.02446138	
"14318"	"30689"	0.16632965	"10000"	0.23849075	"8876"	0.25635971	"13774"	0.26173034	"10941"	0.28031641	"4822"	1.00534644	
"1699"	"13621"	0.05472528	"17167"	0.08026477	"8433"	0.09320680	"21684"	0.09441916	"28148"	0.10300423	"19058"	0.12873173	
"10776"	"306"	0.21398094	"442"	0.25658308	"21318"	0.26899634	"17698"	0.34550352	"2792"	0.37550405	"18267"	0.41071286	
"23290"	"18072"	1.00346386	"17450"	1.00489033	"24235"	1.00619405	"29744"	1.01534278	"28053"	1.03204000	"18389"	1.04113132	
"131"	"28638"	1.00779361	"2788"	1.01115967	"2286"	1.01408339	"1266"	1.01582167	"23970"	1.02088486	"4673"	1.02246003	
"24493"	"31836"	1.00197766	"30869"	1.00212960	"15674"	1.00263012	"22616"	1.00481844	"16621"	1.00542065	"26047"	1.00654305	
"14690"	"19244"	1.11214119	"3343"	1.12142182	"5921"	1.22737718	"10788"	1.42813501	"18995"	1.44489013	"9292"	1.44965925	
"22871"	"4631"	0.14849396	"31683"	0.21003995	"12753"	1.00212294	"21736"	1.00215684	"3960"	1.00255784	"24114"	1.00293600	
"21147"	"21538"	0.04329753	"27724"	0.18810080	"5297"	0.21219090	"26349"	0.21961516	"20725"	0.23917077	"1762"	0.24150565	
"18150"	"21753"	0.21560267	"28047"	0.22883956	"3692"	0.22906229	"12195"	0.30037950	"31682"	0.41618389	"27038"	0.43352398	
"22329"	"28042"	0.17443517	"31713"	0.44756396	"26064"	1.00680998	"28936"	1.03390367	"8593"	1.04694152	"4607"	1.07209019	
"20850"	"2155"	1.04612772	"9647"	1.45425499	"13331"	1.45446995	"27821"	1.46041324	"8311"	1.46433901	"29001"	1.56122919	
"9180"	"27161"	0.05981282	"3626"	0.07580492	"12962"	0.07974940	"23003"	0.10298148	"1069"	0.10675545	"31162"	0.12697182	
"3085"	"703"	0.05186397	"5736"	0.14285789	"833"	0.18268526	"13989"	1.00033680	"4351"	1.00146172	"9413"	1.00164876	
"30529"	"1531"	1.05734392	"28318"	1.06101194	"29395"	1.07636193	"21753"	1.41804220	"12195"	1.42374793	"3692"	1.42693358	
"23357"	"20078"	0.14220435	"13219"	0.15474954	"18672"	0.21297153	"25172"	0.24878474	"17277"	0.33010153	"21834"	1.00054407	
"19435"	"22614"	1.08320365	"17655"	1.42251732	"9092"	1.42679481	"19830"	1.43194398	"21207"	1.43494757	"22468"	1.43943119	
"3804"	"7800"	0.05191588	"26050"	0.07495072	"18799"	0.09088748	"14374"	0.10428165	"11333"	0.13362042	"30916"	0.14041971	
"17453"	"31696"	1.74992931	"17525"	10.1551890	"799"	10.1982068	"25264"	10.1985791	"32238"	10.1996255	"28898"	10.2005926	
"8334"	"10407"	0.10577589	"6824"	0.11166205	"14982"	0.11628508	"30716"	0.12369775	"30129"	0.13184966	"6062"	0.15258162	
"31945"	"1343"	1.44588157	"4617"	1.44745458	"14038"	1.45223314	"32044"	1.46007892	"17200"	1.46388260	"11831"	1.46853599	
"292"	"23074"	1.00454640	"29822"	1.00803856	"31071"	1.01787129	"29592"	1.02270040	"4280"	1.02382217	"7890"	1.41563028	
"7492"	"8593"	1.01655054	"26064"	1.05539360	"31713"	1.41449054	"19353"	1.42273945	"7656"	1.42417129	"361"	1.42455558	
"4124"	"17159"	1.02258475	"20605"	1.41462679	"4958"	1.41483867	"10086"	1.41484191	"24274"	1.41505336	"18830"	1.41511635	
"10346"	"29877"	1.42025968	"22055"	1.42032929	"10196"	1.42114866	"3697"	1.42163306	"10428"	1.42540314	"15337"	1.73218625	
